STAID,LOCAL,DATES,TIMES,MEDIM,STYPE,SAMPL,LABNO,HUNIT,GUNIT,PRJCT,LATDD,LNGDD,CNTYC,DATTD,DATTM,GUERA,GUNNM,GUSER,GUSYS,HDATM,SALTD,SNAME,VDATM,MAJRIVBAS,WELLUSE,WELLCOMPIN
431837076284601,OW1847,20121004,0900,WG,9,01300008,2790074,041402030201,354CLNN,GC12LK000,43.31033333,-76.47930556,075,201210040900 EST,201210040900,Paleozoic,Clinton Formation,Middle,Silurian,NAD83,450,OW1847,NGVD29,Central NY,Domestic,Bedrock
431837076284601,OW1847,20121004,0902,WG,9,01300435,,041402030201,357CLIN,,43.31033333,-76.47930556,075,201210040902 EST,201210040902,Paleozoic,Clinton Group,Lower,Silurian,NAD83,450,OW1847,NGVD29,Central NY,Domestic,Bedrock
431837076284601,OW1847,20121004,0903,WG,9,01300436,,041402030201,357CLIN,,43.31033333,-76.47930556,075,201210040903 EST,201210040903,Paleozoic,Clinton Group,Lower,Silurian,NAD83,450,OW1847,NGVD29,Central NY,Domestic,Bedrock
425804076473901,SE 794,20071003,1200,WG,9,00800041,2780049,041402011404,351BRTI,2457LB32E,42.96780556,-76.79427778,099,200710031200 EST,200710031200,Paleozoic,Bertie Limestone,Upper,Silurian,NAD83,500,SE 794,NGVD29,Central NY,Domestic,Bedrock
425804076473901,SE 794,20071003,1210,WG,9,00800042,2780075,041402011404,351BRTI,2457LB32E,42.96780556,-76.79427778,099,200710031210 EST,200710031210,Paleozoic,Bertie Limestone,Upper,Silurian,NAD83,500,SE 794,NGVD29,Central NY,Domestic,Bedrock
423514076423801,SE 828,20071128,0800,WG,9,00800436,3340020,041402011107,112SDGV,2457LB32E,42.58750000,-76.71050000,099,200711280800 EST,200711280800,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1050,SE 828,NGVD29,Central NY,Domestic,Sand and Gravel
423514076423801,SE 828,20071128,0810,WG,9,00800437,3340022,041402011107,112SDGV,2457LB32E,42.58750000,-76.71050000,099,200711280810 EST,200711280810,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1050,SE 828,NGVD29,Central NY,Domestic,Sand and Gravel
425343076565501,SE1017,20070823,0900,WG,9,00702685,2360088,041402010905,112SDGV,2457LB32E,42.89530556,-76.94869444,099,200708230900 EST,200708230900,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,482,SE1017,NAVD88,Central NY,Domestic,Sand and Gravel
425343076565501,SE1017,20070823,0910,WG,9,00702686,2400134,041402010905,112SDGV,2457LB32E,42.89530556,-76.94869444,099,200708230910 EST,200708230910,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,482,SE1017,NAVD88,Central NY,Domestic,Sand and Gravel
424049076450101,SE1135,20121126,0900,WG,9,01300322,3340077,041402011201,341GENS,GC12LK000,42.68013889,-76.75038889,099,201211260900 EST,201211260900,Paleozoic,Genesee Formation,Upper,Devonian,NAD83,660,SE1135,NGVD29,Central NY,Domestic,Bedrock
